"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.380554879E1,9.947204590E-2,-5.916748047E-1,-1.253585815E0,1.389766584E0
1.381055367E1,7.603454590E-2,-8.143157959E-1,-1.244522095E0,1.489203382E0
1.381558907E1,4.408264160E-2,-1.171707153E0,-1.224822998E0,1.695592023E0
1.382059396E1,-2.792358398E-3,-1.642562866E0,-1.194458008E0,2.030948177E0
1.382562936E1,-7.469177246E-2,-2.091567993E0,-1.149719238E0,2.387904910E0
1.383063424E1,-1.716308594E-1,-2.350967407E0,-1.080474854E0,2.593054340E0
1.383566964E1,-2.818908691E-1,-2.382919312E0,-9.691619873E-1,2.587864344E0
1.384067452E1,-3.953399658E-1,-2.259887695E0,-8.083038330E-1,2.432435235E0
1.384570992E1,-5.013427734E-1,-2.075592041E0,-6.043090820E-1,2.219147666E0
1.385071481E1,-5.972137451E-1,-1.907806396E0,-3.758087158E-1,2.034114474E0
1.385575021E1,-6.792297363E-1,-1.778381348E0,-1.403808594E-1,1.908847830E0
1.386075509E1,-7.404937744E-1,-1.674514771E0,9.237670898E-2,1.833265994E0
1.386579049E1,-7.751159668E-1,-1.578109741E0,3.118286133E-1,1.785629357E0
1.387079537E1,-7.793731689E-1,-1.490768433E0,5.094299316E-1,1.757649542E0
1.387583077E1,-7.516784668E-1,-1.417251587E0,6.793365479E-1,1.742159787E0
1.388083566E1,-7.010650635E-1,-1.344818115E0,8.215484619E-1,1.724810094E0
1.388587106E1,-6.435546875E-1,-1.262802124E0,9.387359619E-1,1.700016778E0
1.389087594E1,-5.876159668E-1,-1.169052124E0,1.032470703E0,1.666724676E0
1.389591134E1,-5.332946777E-1,-1.071578979E0,1.101181030E0,1.626433025E0
1.390091622E1,-4.816284180E-1,-9.719848633E-1,1.139541626E0,1.573300869E0
1.390595162E1,-4.363555908E-1,-8.808898926E-1,1.148056030E0,1.511425107E0
1.391095651E1,-4.097290039E-1,-8.180541992E-1,1.127288818E0,1.451850753E0
1.391599191E1,-4.166412354E-1,-7.866210938E-1,1.082550049E0,1.401526765E0
1.392099679E1,-4.640502930E-1,-7.765045166E-1,1.033004761E0,1.373098967E0
1.392603219E1,-5.418090820E-1,-7.743682861E-1,1.009033203E0,1.382516303E0
1.393103707E1,-6.302337646E-1,-7.642517090E-1,1.029281616E0,1.428529285E0
1.393607247E1,-7.111968994E-1,-7.296295166E-1,1.097991943E0,1.497914073E0
1.394107736E1,-7.735137939E-1,-6.667785645E-1,1.205581665E0,1.579982403E0
1.394611276E1,-8.161163330E-1,-5.858154297E-1,1.335006714E0,1.670768839E0
1.395111764E1,-8.390197754E-1,-5.064544678E-1,1.471893311E0,1.768309992E0
1.395615304E1,-8.480834961E-1,-4.473419189E-1,1.606658936E0,1.871019333E0
1.396115792E1,-8.432922363E-1,-4.084472656E-1,1.728622437E0,1.966241718E0
1.396619332E1,-8.225097656E-1,-3.770294189E-1,1.830352783E0,2.041779814E0
1.397119820E1,-7.873535156E-1,-3.509216309E-1,1.910247803E0,2.095738108E0
1.397623361E1,-7.404937744E-1,-3.365478516E-1,1.970443726E0,2.131723238E0
1.398123849E1,-6.850891113E-1,-3.328247070E-1,2.010925293E0,2.150334837E0
1.398627389E1,-6.280975342E-1,-3.338775635E-1,2.032226562E0,2.153119955E0
1.399127877E1,-5.753784180E-1,-3.328247070E-1,2.036483765E0,2.142218181E0
1.399631417E1,-5.348968506E-1,-3.162994385E-1,2.026367188E0,2.119510310E0
1.400131906E1,-5.114593506E-1,-2.768859863E-1,2.013046265E0,2.095378672E0
1.400635446E1,-5.061340332E-1,-2.140350342E-1,2.003463745E0,2.077462306E0
1.401135934E1,-5.146484375E-1,-1.298828125E-1,1.998672485E0,2.067951707E0
1.401639474E1,-5.327606201E-1,-3.987121582E-2,2.002395630E0,2.072441037E0
1.402139962E1,-5.551300049E-1,4.428100586E-2,2.014114380E0,2.089685829E0
1.402643502E1,-5.774993896E-1,1.172485352E-1,2.028503418E0,2.112363340E0
1.403143990E1,-5.945434570E-1,1.822357178E-1,2.042343140E0,2.134913881E0
1.403647531E1,-6.036071777E-1,2.402954102E-1,2.051406860E0,2.151825647E0
1.404148019E1,-6.014709473E-1,3.004760742E-1,2.051940918E0,2.159285693E0
1.404651559E1,-5.865631104E-1,3.819732666E-1,2.044479370E0,2.160984904E0
1.405152047E1,-5.615234375E-1,4.922332764E-1,2.029571533E0,2.162582433E0
1.405655587E1,-5.332946777E-1,6.221923828E-1,2.011459351E0,2.171979579E0
1.406156075E1,-5.103912354E-1,7.569427490E-1,1.993347168E0,2.192463106E0
1.406659615E1,-4.997406006E-1,8.885040283E-1,1.981094360E0,2.227984502E0
1.407163156E1,-5.034637451E-1,1.011550903E0,1.974700928E0,2.275116420E0
1.407663644E1,-5.210418701E-1,1.123397827E0,1.976837158E0,2.332679245E0
1.408167184E1,-5.476684570E-1,1.223526001E0,1.984817505E0,2.395090216E0
1.408667672E1,-5.807037354E-1,1.314086914E0,1.994415283E0,2.457993810E0
1.409171212E1,-6.169128418E-1,1.396636963E0,2.000808716E0,2.516825734E0
1.409671700E1,-6.552734375E-1,1.471740723E0,2.000808716E0,2.568781725E0
1.410175240E1,-7.005462646E-1,1.539382935E0,1.992813110E0,2.613765288E0
1.410675729E1,-7.548675537E-1,1.601165771E0,1.978958130E0,2.655151998E0
1.411179269E1,-8.150482178E-1,1.650711060E0,1.960861206E0,2.689633296E0
1.411679757E1,-8.773803711E-1,1.679458618E0,1.942749023E0,2.713789110E0
1.412183297E1,-9.391632080E-1,1.686920166E0,1.932098389E0,2.731433939E0
1.412683785E1,-1.000946045E0,1.673080444E0,1.940612793E0,2.750830633E0
1.413187325E1,-1.069656372E0,1.638458252E0,1.975769043E0,2.780714568E0
1.413687814E1,-1.150619507E0,1.589447021E0,2.030090332E0,2.823390487E0
1.414191354E1,-1.239028931E0,1.537246704E0,2.091888428E0,2.876511310E0
1.414691842E1,-1.325317383E0,1.493041992E0,2.147811890E0,2.932360222E0
1.415195382E1,-1.398818970E0,1.475463867E0,2.189346313E0,2.987796080E0
1.415695870E1,-1.448348999E0,1.486648560E0,2.207458496E0,3.029968940E0
1.416199410E1,-1.468063354E0,1.523406982E0,2.194152832E0,3.047996965E0
1.416699899E1,-1.461669922E0,1.589981079E0,2.149398804E0,3.047036923E0
1.417203439E1,-1.439834595E0,1.685317993E0,2.077499390E0,3.037996727E0
1.417703927E1,-1.411071777E0,1.796112061E0,1.980026245E0,3.022853954E0
1.418207467E1,-1.376449585E0,1.911163330E0,1.862319946E0,3.002564623E0
1.418707955E1,-1.341827393E0,2.016616821E0,1.735549927E0,2.979828469E0
1.419211495E1,-1.315200806E0,2.091720581E0,1.616241455E0,2.952504799E0
1.419711984E1,-1.303482056E0,2.136459351E0,1.513977051E0,2.925004365E0
1.420215524E1,-1.302413940E0,2.155105591E0,1.433013916E0,2.897290297E0
1.420716012E1,-1.300277710E0,2.151382446E0,1.371765137E0,2.863722777E0
1.421219552E1,-1.284835815E0,2.131668091E0,1.331817627E0,2.822862043E0
1.421720040E1,-1.252349854E0,2.113555908E0,1.306243896E0,2.782403970E0
1.422223580E1,-1.196426392E0,2.109832764E0,1.289199829E0,2.746792056E0
1.422724069E1,-1.115997314E0,2.123153687E0,1.274826050E0,2.716323442E0
1.423227609E1,-1.016387939E0,2.149780273E0,1.258316040E0,2.690345503E0
1.423728097E1,-9.040069580E-1,2.184936523E0,1.233276367E0,2.666860849E0
1.424231637E1,-7.873535156E-1,2.221145630E0,1.200256348E0,2.644622613E0
1.424732125E1,-6.685791016E-1,2.255767822E0,1.160308838E0,2.623319097E0
1.425235665E1,-5.455474854E-1,2.289855957E0,1.117172241E0,2.605597087E0
1.425736154E1,-4.209136963E-1,2.326080322E0,1.073486328E0,2.596187763E0
1.426239694E1,-2.946777344E-1,2.364959717E0,1.030349731E0,2.596437944E0
1.426740182E1,-1.732330322E-1,2.400115967E0,9.845428467E-1,2.599979030E0
1.427243722E1,-6.138610840E-2,2.419830322E0,9.307403564E-1,2.593380931E0
1.427744210E1,3.929138184E-2,2.414505005E0,8.620300293E-1,2.564073712E0
1.428247750E1,1.277008057E-1,2.376678467E0,7.741546631E-1,2.502843078E0
1.428748238E1,2.070617676E-1,2.305847168E0,6.676177979E-1,2.409464518E0
1.429251779E1,2.816314697E-1,2.199310303E0,5.456542969E-1,2.283423023E0
1.429752267E1,3.594055176E-1,2.058700562E0,4.151611328E-1,2.130675737E0
1.430255807E1,4.403533936E-1,1.885589600E0,2.846679688E-1,1.957139520E0
1.430756295E1,5.213165283E-1,1.687454224E0,1.632232666E-1,1.773672606E0
1.431259835E1,5.985565186E-1,1.472808838E0,5.509948730E-2,1.590745653E0
1.431760323E1,6.736450195E-1,1.248031616E0,-3.918457031E-2,1.418772694E0
1.432263864E1,7.476806641E-1,1.018463135E0,-1.238708496E-1,1.269502863E0
1.432764352E1,8.201293945E-1,7.867736816E-1,-2.005615234E-1,1.154058046E0
1.433267892E1,8.904266357E-1,5.476226807E-1,-2.751312256E-1,1.080947448E0
1.433768380E1,9.538116455E-1,3.100738525E-1,-3.502349854E-1,1.062340338E0
1.434271920E1,1.006011963E0,9.115600586E-2,-4.269409180E-1,1.096653106E0
1.434772408E1,1.040634155E0,-8.621215820E-2,-4.993743896E-1,1.157465664E0
1.435275948E1,1.057144165E0,-2.097778320E-1,-5.670166016E-1,1.217812938E0
1.435776437E1,1.061401367E0,-2.800903320E-1,-6.266784668E-1,1.264021106E0
1.436279977E1,1.065139771E0,-3.019256592E-1,-6.772766113E-1,1.297838758E0
1.436780465E1,1.071533203E0,-2.811584473E-1,-7.188110352E-1,1.320576685E0
1.437284005E1,1.074722290E0,-2.273559570E-1,-7.539672852E-1,1.332360837E0
1.437784493E1,1.046493530E0,-1.767578125E-1,-7.870025635E-1,1.321274032E0
1.438288033E1,9.591369629E-1,-1.250915527E-1,-8.088378906E-1,1.260876815E0
1.438791573E1,7.705841064E-1,4.907226562E-2,-8.045654297E-1,1.115138325E0
1.439292062E1,4.499511719E-1,4.171295166E-1,-7.885894775E-1,9.991628770E-1
1.439795602E1,2.113189697E-1,7.063446045E-1,-7.662200928E-1,1.063330446E0
1.440296090E1,2.539367676E-1,7.473602295E-1,-7.166900635E-1,1.066150009E0
1.440799630E1,5.037384033E-1,6.663970947E-1,-6.208190918E-1,1.040794798E0
1.441300118E1,8.025512695E-1,5.348358154E-1,-5.265350342E-1,1.098807095E0
1.441803658E1,1.079513550E0,3.340301514E-1,-4.956512451E-1,1.233935089E0
1.442304147E1,1.297897339E0,8.157348633E-2,-5.249328613E-1,1.402407303E0
1.442807687E1,1.445968628E0,-1.756896973E-1,-5.787353516E-1,1.567362992E0
1.443308175E1,1.549301147E0,-3.956756592E-1,-6.304016113E-1,1.718807570E0
1.443811715E1,1.623870850E0,-5.378875732E-1,-6.746063232E-1,1.838851073E0
1.444312203E1,1.660079956E0,-6.002044678E-1,-7.150878906E-1,1.904589603E0
1.444815743E1,1.646774292E0,-6.295013428E-1,-7.529144287E-1,1.917033554E0
1.445316232E1,1.580184937E0,-6.774291992E-1,-7.896575928E-1,1.891944467E0
1.445819772E1,1.474197388E0,-7.733001709E-1,-8.328094482E-1,1.861403414E0
1.446320260E1,1.352218628E0,-8.915557861E-1,-8.807373047E-1,1.843655374E0
1.446823800E1,1.242507935E0,-9.943542480E-1,-9.254760742E-1,1.840943319E0
1.447324288E1,1.157287598E0,-1.061996460E0,-9.569091797E-1,1.839246107E0
1.447827828E1,1.098693848E0,-1.071578979E0,-9.702148438E-1,1.815688994E0
1.448328317E1,1.059814453E0,-1.009796143E0,-9.595642090E-1,1.750330939E0
1.448831857E1,1.028915405E0,-8.681182861E-1,-9.180297852E-1,1.629440074E0
1.449332345E1,9.942932129E-1,-6.545257568E-1,-8.482513428E-1,1.461695351E0
1.449835885E1,9.570159912E-1,-4.015350342E-1,-7.624969482E-1,1.287832127E0
1.450336373E1,9.223937988E-1,-1.362762451E-1,-6.799316406E-1,1.153988116E0
1.450839913E1,9.005584717E-1,1.225891113E-1,-6.181488037E-1,1.099154946E0
1.451340402E1,8.914947510E-1,3.569335938E-1,-5.909881592E-1,1.127577707E0
1.451843942E1,8.867034912E-1,5.438995361E-1,-6.037750244E-1,1.202752704E0
1.452344430E1,8.749847412E-1,6.642761230E-1,-6.495819092E-1,1.276251434E0
1.452847970E1,8.467559814E-1,7.185974121E-1,-7.102966309E-1,1.318294063E0
1.453348458E1,8.030853271E-1,7.175292969E-1,-7.731475830E-1,1.325726789E0
1.453851998E1,7.556762695E-1,6.717224121E-1,-8.264160156E-1,1.305841129E0
1.454352486E1,7.146606445E-1,5.923614502E-1,-8.615570068E-1,1.266456632E0
1.454856027E1,6.800384521E-1,4.943542480E-1,-8.759460449E-1,1.214133392E0
1.455356515E1,6.502227783E-1,3.920898438E-1,-8.732757568E-1,1.157209858E0
1.455860055E1,6.257171631E-1,2.892913818E-1,-8.578338623E-1,1.100495528E0
1.456360543E1,6.086730957E-1,1.838378906E-1,-8.359985352E-1,1.050320360E0
1.456864083E1,6.001434326E-1,8.050537109E-2,-8.109588623E-1,1.012080793E0
1.457364572E1,5.985565186E-1,-1.429748535E-2,-7.870025635E-1,9.888616480E-1
1.457868112E1,6.028137207E-1,-9.260559082E-2,-7.656860352E-1,9.788949289E-1
1.458368600E1,6.107940674E-1,-1.554565430E-1,-7.427825928E-1,9.741468625E-1
1.458872140E1,6.150665283E-1,-1.991271973E-1,-7.150878906E-1,9.640068290E-1
1.459372628E1,6.129302979E-1,-2.209625244E-1,-6.772766113E-1,9.397933791E-1
1.459876168E1,6.049346924E-1,-2.183074951E-1,-6.320037842E-1,9.016833855E-1
1.460376656E1,5.937500000E-1,-1.916656494E-1,-5.814056396E-1,8.528231361E-1
1.460880197E1,5.857696533E-1,-1.453247070E-1,-5.329284668E-1,8.051447745E-1
1.461380685E1,5.809783936E-1,-8.407592773E-2,-4.929809570E-1,7.665734664E-1
1.461884225E1,5.777740479E-1,-1.536560059E-2,-4.652862549E-1,7.419907351E-1
1.462384713E1,5.735168457E-1,4.855346680E-2,-4.541015625E-1,7.331352130E-1
1.462888253E1,5.687255859E-1,9.541320801E-2,-4.599609375E-1,7.376425533E-1
1.463388741E1,5.639343262E-1,1.199188232E-1,-4.817962646E-1,7.513521738E-1
1.463892281E1,5.575408936E-1,1.188507080E-1,-5.180206299E-1,7.702744393E-1
1.464392770E1,5.500793457E-1,8.850097656E-2,-5.606231689E-1,7.903910722E-1
1.464896310E1,5.420837402E-1,2.670288086E-2,-5.995025635E-1,8.086848267E-1
1.465396798E1,5.335693359E-1,-6.170654297E-2,-6.272125244E-1,8.257720536E-1
1.465900338E1,5.255737305E-1,-1.602478027E-1,-6.426544189E-1,8.455245748E-1
1.466400826E1,5.165252686E-1,-2.555847168E-1,-6.437225342E-1,8.640026629E-1
1.466904366E1,5.085296631E-1,-3.381500244E-1,-6.341247559E-1,8.803760919E-1
1.467404855E1,5.016174316E-1,-4.057922363E-1,-6.165466309E-1,8.924220609E-1
1.467908395E1,4.973449707E-1,-4.563903809E-1,-5.931243896E-1,8.985770647E-1
1.468408883E1,4.952239990E-1,-4.899444580E-1,-5.659484863E-1,8.975466953E-1
1.468912423E1,4.952239990E-1,-5.069885254E-1,-5.398559570E-1,8.909144900E-1
1.469412911E1,4.994812012E-1,-5.080566406E-1,-5.169525146E-1,8.802516247E-1
1.469916451E1,5.111999512E-1,-4.931335449E-1,-5.009765625E-1,8.691855955E-1
1.470416940E1,5.303802490E-1,-4.638519287E-1,-4.940490723E-1,8.605500021E-1
1.470920480E1,5.538024902E-1,-4.212341309E-1,-4.945831299E-1,8.536673026E-1
1.471420968E1,5.767059326E-1,-3.637084961E-1,-5.015106201E-1,8.463961867E-1
1.471924508E1,5.937500000E-1,-2.880706787E-1,-5.084228516E-1,8.330771719E-1
1.472428048E1,6.017456055E-1,-1.975250244E-1,-5.142822266E-1,8.158431942E-1
1.472928536E1,6.022796631E-1,-9.953308105E-2,-5.190887451E-1,8.013118944E-1
1.473432076E1,5.926971436E-1,-1.525878906E-3,-5.254669189E-1,7.920907241E-1
1.473932565E1,5.735168457E-1,8.955383301E-2,-5.350646973E-1,7.894527798E-1
1.474436105E1,5.468902588E-1,1.667938232E-1,-5.526428223E-1,7.951875399E-1
1.474936593E1,5.159912109E-1,2.264404297E-1,-5.792694092E-1,8.081307112E-1
1.475440133E1,4.835052490E-1,2.685241699E-1,-6.144256592E-1,8.266809822E-1
1.475940621E1,4.536743164E-1,2.946166992E-1,-6.543731689E-1,8.490133268E-1
1.476444161E1,4.297027588E-1,3.074035645E-1,-6.948547363E-1,8.729057893E-1
1.476944650E1,4.115905762E-1,3.074035645E-1,-7.310638428E-1,8.935088674E-1
1.477448190E1,3.993530273E-1,2.935638428E-1,-7.608947754E-1,9.080877873E-1
1.477948678E1,3.934936523E-1,2.658538818E-1,-7.832641602E-1,9.159794133E-1
1.478452218E1,3.945465088E-1,2.296447754E-1,-7.976531982E-1,9.190507576E-1
1.478952706E1,4.004058838E-1,1.886291504E-1,-8.050994873E-1,9.187442585E-1
1.479456246E1,4.089355469E-1,1.422882080E-1,-8.040466309E-1,9.132169513E-1
1.479956735E1,4.185180664E-1,9.222412109E-2,-7.955169678E-1,9.036093771E-1
1.480460275E1,4.302368164E-1,4.002380371E-2,-7.811431885E-1,8.926871255E-1
1.480960763E1,4.424896240E-1,-1.057434082E-2,-7.619628906E-1,8.811902920E-1
1.481464303E1,4.552764893E-1,-5.905151367E-2,-7.401275635E-1,8.709492368E-1
1.481964791E1,4.659271240E-1,-1.048583984E-1,-7.166900635E-1,8.612363298E-1
1.482468331E1,4.749755859E-1,-1.453247070E-1,-6.932525635E-1,8.528306951E-1
1.482968820E1,4.824371338E-1,-1.815490723E-1,-6.740722656E-1,8.485747303E-1
1.483472360E1,4.904327393E-1,-2.156372070E-1,-6.586303711E-1,8.490098012E-1
1.483972848E1,4.994812012E-1,-2.497253418E-1,-6.479797363E-1,8.554074791E-1
1.484476388E1,5.079956055E-1,-2.864837646E-1,-6.415863037E-1,8.670440979E-1
1.484976876E1,5.159912109E-1,-3.242950439E-1,-6.378631592E-1,8.822038399E-1
1.485480416E1,5.229187012E-1,-3.599853516E-1,-6.367950439E-1,8.991892734E-1
1.485980904E1,5.282440186E-1,-3.898162842E-1,-6.378631592E-1,9.153512377E-1
1.486484445E1,5.330352783E-1,-4.137725830E-1,-6.389312744E-1,9.292833431E-1
1.486984933E1,5.383605957E-1,-4.340209961E-1,-6.410522461E-1,9.429498069E-1
1.487488473E1,5.442199707E-1,-4.526672363E-1,-6.431884766E-1,9.564384035E-1
1.487988961E1,5.479431152E-1,-4.712982178E-1,-6.463775635E-1,9.696224122E-1
1.488492501E1,5.490112305E-1,-4.862213135E-1,-6.501159668E-1,9.800384009E-1
1.488992990E1,5.468902588E-1,-4.931335449E-1,-6.533050537E-1,9.844171583E-1
1.489496530E1,5.420837402E-1,-4.872894287E-1,-6.543731689E-1,9.795458198E-1
1.489997018E1,5.346374512E-1,-4.697113037E-1,-6.533050537E-1,9.660607674E-1
1.490500558E1,5.245208740E-1,-4.473419189E-1,-6.501159668E-1,9.475693695E-1
1.491001046E1,5.101318359E-1,-4.254913330E-1,-6.469116211E-1,9.272389174E-1
1.491504586E1,4.920196533E-1,-4.068603516E-1,-6.442565918E-1,9.070199783E-1
1.492005074E1,4.685821533E-1,-3.919372559E-1,-6.437225342E-1,8.874473212E-1
1.492508615E1,4.398193359E-1,-3.860778809E-1,-6.458435059E-1,8.715566605E-1
1.493009103E1,4.084014893E-1,-3.866119385E-1,-6.506347656E-1,8.599919567E-1
1.493512643E1,3.785705566E-1,-3.919372559E-1,-6.586303711E-1,8.548242185E-1
1.494013131E1,3.487396240E-1,-4.047241211E-1,-6.676788330E-1,8.551116673E-1
1.494516671E1,3.141174316E-1,-4.244384766E-1,-6.772766113E-1,8.587906552E-1
1.495017159E1,2.725830078E-1,-4.537200928E-1,-6.857910156E-1,8.662982950E-1
1.495520699E1,2.288970947E-1,-4.963378906E-1,-6.943206787E-1,8.836438120E-1
1.496021188E1,1.889495850E-1,-5.538635254E-1,-7.001800537E-1,9.125343051E-1
1.496524728E1,1.569976807E-1,-6.156463623E-1,-7.012481689E-1,9.462651371E-1
1.497025216E1,1.298370361E-1,-6.683807373E-1,-6.969757080E-1,9.743539416E-1
1.497528756E1,1.037292480E-1,-7.104492188E-1,-6.884613037E-1,9.947244925E-1
1.498029244E1,8.082580566E-2,-7.498626709E-1,-6.793975830E-1,1.015090100E0
1.498532784E1,6.698608398E-2,-7.908782959E-1,-6.708831787E-1,1.039259281E0
1.499033273E1,6.378173828E-2,-8.281707764E-1,-6.623535156E-1,1.062378052E0
1.499536813E1,6.378173828E-2,-8.521423340E-1,-6.554412842E-1,1.076948441E0
1.500037301E1,5.686950684E-2,-8.643798828E-1,-6.538391113E-1,1.085307471E0
1.500540841E1,4.408264160E-2,-8.670501709E-1,-6.602325439E-1,1.090699908E0
1.501041329E1,3.289794922E-2,-8.585205078E-1,-6.746063232E-1,1.092352246E0
1.501544869E1,2.543640137E-2,-8.361511230E-1,-6.953887939E-1,1.087824106E0
1.502045358E1,2.278137207E-2,-8.009948730E-1,-7.225494385E-1,1.078976120E0
1.502548898E1,2.171325684E-2,-7.573242188E-1,-7.550354004E-1,1.069621379E0
1.503049386E1,2.064514160E-2,-7.056579590E-1,-7.917938232E-1,1.060809519E0
1.503552926E1,1.904296875E-2,-6.444091797E-1,-8.312072754E-1,1.051917944E0
1.504056466E1,1.585388184E-2,-5.746307373E-1,-8.716888428E-1,1.044171092E0
1.504556954E1,1.052856445E-2,-5.027313232E-1,-9.142913818E-1,1.043445430E0
1.505060494E1,5.737304688E-3,-4.361419678E-1,-9.542388916E-1,1.049201885E0
1.505560983E1,3.967285156E-4,-3.780975342E-1,-9.915313721E-1,1.061174992E0
1.506064523E1,-9.185791016E-3,-3.280181885E-1,-1.026153564E0,1.077344629E0
1.506565011E1,-2.462768555E-2,-2.854156494E-1,-1.059173584E0,1.097231651E0
1.507068551E1,-4.487609863E-2,-2.561187744E-1,-1.093261719E0,1.123757926E0
1.507569039E1,-5.978393555E-2,-2.460021973E-1,-1.130538940E0,1.158537654E0
1.508072579E1,-6.243896484E-2,-2.454681396E-1,-1.171554565E0,1.198621430E0
1.508573068E1,-6.243896484E-2,-2.369384766E-1,-1.213104248E0,1.237602676E0
1.509076608E1,-6.936645508E-2,-2.060546875E-1,-1.249313354E0,1.268090729E0
1.509577096E1,-8.161926270E-2,-1.506652832E-1,-1.275421143E0,1.286880267E0
1.510080636E1,-9.387207031E-2,-8.621215820E-2,-1.288208008E0,1.294497730E0
1.510581124E1,-1.013336182E-1,-3.347778320E-2,-1.283935547E0,1.288363207E0
1.511084664E1,-1.045227051E-1,-9.506225586E-3,-1.264236450E0,1.268585498E0
1.511585152E1,-1.061248779E-1,-1.750183105E-2,-1.230682373E0,1.235373590E0
1.512088693E1,-1.098480225E-1,-5.105590820E-2,-1.185409546E0,1.191582597E0
1.512589181E1,-1.167755127E-1,-1.053771973E-1,-1.133743286E0,1.144602426E0
1.513092721E1,-1.300964355E-1,-1.778259277E-1,-1.078338623E0,1.100618612E0
1.513593209E1,-1.513977051E-1,-2.646484375E-1,-1.022949219E0,1.067419863E0
1.514096749E1,-1.801605225E-1,-3.743591309E-1,-9.702148438E-1,1.055423809E0
1.514597238E1,-2.105255127E-1,-5.208435059E-1,-9.238891602E-1,1.081281707E0
1.515100778E1,-2.392730713E-1,-6.923522949E-1,-8.818054199E-1,1.146378690E0
1.515601266E1,-2.744293213E-1,-8.345642090E-1,-8.365325928E-1,1.213093422E0
1.516104806E1,-3.245086670E-1,-9.006042480E-1,-7.848663330E-1,1.237905104E0
1.516605294E1,-3.766937256E-1,-9.059295654E-1,-7.268066406E-1,1.221005501E0
1.517108834E1,-4.145202637E-1,-8.601226807E-1,-6.655578613E-1,1.163875140E0
1.517609322E1,-4.304962158E-1,-7.509307861E-1,-5.995025635E-1,1.052913748E0
1.518112863E1,-4.326324463E-1,-5.693054199E-1,-5.297393799E-1,8.898894905E-1
1.518613351E1,-4.336853027E-1,-3.440093994E-1,-4.562377930E-1,7.173411548E-1
1.519116891E1,-4.406127930E-1,-1.091156006E-1,-3.768615723E-1,5.899749929E-1
1.519617379E1,-4.533996582E-1,9.754943848E-2,-2.825927734E-1,5.430891443E-1
1.520120919E1,-4.608612061E-1,2.488098145E-1,-1.680755615E-1,5.500443340E-1
1.520621407E1,-4.528656006E-1,3.521423340E-1,-3.172302246E-2,5.745414047E-1
1.521124948E1,-4.273071289E-1,4.299163818E-1,1.190185547E-1,6.177255816E-1
1.521625436E1,-3.815002441E-1,4.954223633E-1,2.788085938E-1,6.846312776E-1
1.522128976E1,-3.202362061E-1,5.577392578E-1,4.428558350E-1,7.808620864E-1
1.522629464E1,-2.504730225E-1,6.285858154E-1,6.031799316E-1,9.064672594E-1
1.523133004E1,-1.790924072E-1,7.217864990E-1,7.512512207E-1,1.057084782E0
1.523633492E1,-1.093139648E-1,8.320465088E-1,8.838653564E-1,1.218798139E0
1.524137032E1,-3.901672363E-2,9.423065186E-1,1.003189087E0,1.376899497E0
1.524637521E1,2.915954590E-2,1.029647827E0,1.110244751E0,1.514486162E0
1.525141061E1,8.988952637E-2,1.074401855E0,1.200256348E0,1.613392319E0
1.525641549E1,1.330261230E-1,1.071731567E0,1.267898560E0,1.665494299E0
1.526145089E1,1.458129883E-1,1.037643433E0,1.312637329E0,1.679577947E0
1.526645577E1,1.207733154E-1,9.966278076E-1,1.340866089E0,1.675044790E0
1.527149117E1,5.792236328E-2,9.673309326E-1,1.363235474E0,1.672571401E0
1.527649606E1,-3.369140625E-2,9.524230957E-1,1.387207031E0,1.683029474E0
1.528153146E1,-1.434020996E-1,9.401702881E-1,1.419692993E0,1.708804415E0
1.528653634E1,-2.605895996E-1,9.210052490E-1,1.462310791E0,1.747715783E0
1.529157174E1,-3.804321289E-1,8.959655762E-1,1.516632080E0,1.802125352E0
1.529657662E1,-5.008087158E-1,8.703918457E-1,1.577362061E0,1.869882992E0
1.530161202E1,-6.153259277E-1,8.448333740E-1,1.638610840E0,1.943557283E0
1.530661691E1,-7.175903320E-1,8.176727295E-1,1.692413330E0,2.011911394E0
1.531165231E1,-7.974853516E-1,7.851715088E-1,1.730224609E0,2.060619903E0
1.531665719E1,-8.491516113E-1,7.473602295E-1,1.748336792E0,2.082375401E0
1.532169259E1,-8.672485352E-1,7.159271240E-1,1.745666504E0,2.076541165E0
1.532669747E1,-8.565979004E-1,6.988830566E-1,1.726501465E0,2.050123118E0
1.533173287E1,-8.246459961E-1,6.978302002E-1,1.691345215E0,2.006902250E0
1.533673776E1,-7.852325439E-1,7.116699219E-1,1.649261475E0,1.960389665E0
1.534177316E1,-7.511444092E-1,7.276458740E-1,1.621566772E0,1.929550528E0
1.534677804E1,-7.314300537E-1,7.420349121E-1,1.617843628E0,1.924324229E0
1.535181344E1,-7.229156494E-1,7.558746338E-1,1.637008667E0,1.942614443E0
1.535681832E1,-7.202453613E-1,7.718658447E-1,1.676422119E0,1.981141435E0
1.536185372E1,-7.175903320E-1,7.915649414E-1,1.729690552E0,2.033061816E0
1.536688912E1,-7.085266113E-1,8.245849609E-1,1.788818359E0,2.093280067E0
1.537189401E1,-6.888275146E-1,8.677368164E-1,1.850067139E0,2.156431994E0
1.537692941E1,-6.621856689E-1,9.210052490E-1,1.908126831E0,2.219839754E0
1.538193429E1,-6.313018799E-1,9.907684326E-1,1.960327148E0,2.285398582E0
