"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.911494640E-1,-4.273986816E-2,1.385650635E-1,-5.355834961E-2,1.545815964E-1
3.961848640E-1,-4.273986816E-2,1.412200928E-1,-5.834960938E-2,1.586647026E-1
4.011897470E-1,-4.592895508E-2,1.454925537E-1,-6.314086914E-2,1.651191129E-1
4.062251470E-1,-5.232238770E-2,1.587982178E-1,-6.794738770E-2,1.804753549E-1
4.112300300E-1,-5.606079102E-2,1.651916504E-1,-7.060241699E-2,1.881908471E-1
4.162654300E-1,-5.818176270E-2,1.651916504E-1,-7.167053223E-2,1.892354725E-1
4.212703130E-1,-5.978393555E-2,1.598663330E-1,-7.167053223E-2,1.851162569E-1
4.263057140E-1,-6.138610840E-2,1.502838135E-1,-7.167053223E-2,1.774546254E-1
4.313105960E-1,-6.350708008E-2,1.369628906E-1,-7.220458984E-2,1.673483953E-1
4.363154790E-1,-6.617736816E-2,1.220550537E-1,-7.592773438E-2,1.582463303E-1
4.413508800E-1,-7.043457031E-2,1.065979004E-1,-8.178710938E-2,1.517012601E-1
4.463557620E-1,-7.469177246E-2,8.955383301E-2,-8.978271484E-2,1.471722996E-1
4.513911630E-1,-7.896423340E-2,7.304382324E-2,-9.776306152E-2,1.453559991E-1
4.563960460E-1,-8.215332031E-2,5.813598633E-2,-1.015014648E-1,1.429388272E-1
4.614314460E-1,-8.322143555E-2,4.534912109E-2,-9.403991699E-2,1.335135053E-1
4.664363290E-1,-8.268737793E-2,3.523254395E-2,-7.006835938E-2,1.139653878E-1
4.714717290E-1,-8.482360840E-2,2.565002441E-2,-4.023742676E-2,9.732429710E-2
4.764766120E-1,-8.908081055E-2,1.872253418E-2,-1.254272461E-2,9.188712660E-2
4.815120120E-1,-9.494018555E-2,1.551818848E-2,5.554199219E-3,9.636027259E-2
4.865168950E-1,-1.013336182E-1,1.339721680E-2,1.622009277E-2,1.034943428E-1
4.915522960E-1,-1.087799072E-1,9.124755859E-3,2.473449707E-2,1.119291058E-1
4.965571780E-1,-1.173095703E-1,2.746582031E-3,3.059387207E-2,1.212644383E-1
5.015925790E-1,-1.263580322E-1,-3.646850586E-3,3.379821777E-2,1.308509509E-1
5.065974620E-1,-1.332855225E-1,-1.004028320E-2,3.538513184E-2,1.382676583E-1
5.116328620E-1,-1.380767822E-1,-1.377868652E-2,3.645324707E-2,1.434708654E-1
5.166377450E-1,-1.386108398E-1,-1.696777344E-2,3.431701660E-2,1.438003056E-1
5.216731450E-1,-1.354217529E-1,-1.963806152E-2,3.112792969E-2,1.403340751E-1
